,News,Category
4578,Why Team India is safe under captain Kohli.The extent of his influence on this team could be felt even beyond the field of play.,sports
1398,"Flipkart, Amazon, Ola... Who will survive India's e-commerce wars?.[Book extract] The message is clear: profitability will drive investors' decisions.",business
2423,"[Revealed] Virat Kohli's tough New Year resolutions.From Anushka to Yuvi, everyone’s in it.",humour
4393,"Delhi Daredevils could give Kohli a hard time today.It may look RCB has a big advantage, but Zaheer's team can turn things around.",sports
4596,How India 'A' proved cricket in the country isn't in strong hands.There is a total lack of spin talent when one looks at the 'A' side.,sports
2732,IndVsAus review: KRK's take on Virat-Anushka is so bad it's so good.The compulsive critic tells you why India didn't #GetItBack in this video.,humour
18240,"Will Owaisi's Hyderabadi biryani make a splash in Lucknavi electoral daawat?.By making public his interest in Azamgarh, Owaisi has ensured Mulayam Singh Yadav's bicycle wobbles at least a bit.",politics
1799,"Corporate espionage: How far would you go to evade taxes?.Theft, arson and panic are some of the exceptional steps taken by taxpayers who have huge stake in the files.",business
4776,"Must watch: How MPs broke into a song for Dhoni and the Indian cricket team in Parliament.BJP MPs Manoj Tiwari, Anurag Thakur were joined by Meenakshi Lekhi and NCP's Supriya Sule.",sports
2203,"Well, at least Donald Trump can draw.He probably had not thought about the memetic potential of these times.",humour
293,"How the manufactured buzz around Sara Ali Khan exposes Bollywood’s deceit.In the last two years, Bollywood has said plenty on the nepotism debate. When will it finally act?",Arts
4506,"Is Dhoni the brand now bigger than the player?.For a cricket fan, it would be heartbreaking to think a champion on field has stuck in the showbiz of franchise.",sports
2230,"Deep, dark family secrets of Narendra Modi and Akhilesh Yadav.One ensures his relatives are subjected to that thing affectionately called the ‘plight of the aam aadmi’, while the other insists on uprooting himself.",humour
3125,Why WHO is wrong in classifying 'gaming disorder' as a mental illness.The decision appears to be backed by little research and as such seems flawed.,tech
1825,"Apple should invent the future and not reinvent the present.The new iPhones are not reinventing the wheel, but rather are iterating upon technology that is already available",humour
3799,"Five reasons why the Apple iPad is not selling.Five years ago, Steve Jobs launched the famous tablet. Today the sales of the iPad are 18 per cent down.",tech
18808,"How Unilever could truly help the Swacch Bharat campaign.It needs to reach out to more retailers, after all, their distribution network is formidable, and piggyback on the campaign to reach out directly to consumers.",politics
18586,"Has Sushma Swaraj done a Sadhvi with her Gita comment?.Being sidelined by Modi from her own external affairs ministry, the minister used the tried and tested method of making a controversial Hindu nationalist statement to get some spotlight.",politics
283,"Frenetic, edgy, sexy and likable. How Ranveer Singh is reinventing the role of the Bollywood hero.For the first time in over a decade, none of the highest-earning Hindi films starred the Khans.",Arts
4481,What Dhoni seems to have learnt from Kohli the hard way.The captain was seen more proactive every time a wicket fell in the recent T20 series against Australia.,sports
2993,"Are Facebook and Instagram manipulating you with the #10YearChallenge?.Hang on! Is Facebook collecting data for a facial recognition system that it's developing? This is something you should know, before posting pictures of you ten years ago to now.",tech
3958,When Virat Kohli pulled off a Sachin Tendulkar.From being a one-man army to becoming the world’s No.1 Test player.,sports
1625,5.80 lakh crore in bad loans: Let's pray for India's bleeding banks.A new IMF report states our public coffers are worse than the notoriously messy banking of China.,business
72,"Why the internet wants Deepika Padukone to take a stand, but not Ranbir Kapoor?.This utterly biased outrage on social media shows how we demand women to be heroes while absolving the men of their responsibilities.",Arts
4766,"Why #IndvsAus is the virtual final of Cricket World Cup 2015.Whoever wins, Team India or the Aussies, it will be a contest people will remember for a very long time.",sports
2320,"Sourav Ganguly wants to interview Ravi Shastri to make amends.It may or may not, however, change Anil Kumble’s role as coach.",humour
2072,Exclusive leaked photos of BJP's Sakshi Maharaj painting the night saffron at nightclub.Ain't no party like the Bharatiya Janata Party!,humour
3384,Best Android camera smartphones in the market right now.2017 has seen great improvements to camera technology on smartphones.,tech
644,Truth about whether Hindus were forced to convert to Islam during Mughal rule.[Book extract] Political relations should be examined in terms of the politics of the time.,Arts
1206,"Cashless again in India: Is this Modi government's demonetisation 2.0?.Some states apparently have less currency, and others more.",business
444,Can we please stop romanticising Supreme Court's Section 377 verdict?.Grant all other civil liberties to same-sex couples. Gay people are as boring and bourgeois as any other Indian heterosexual couple.,Arts
2657,[Exclusive] Lalit Modi finally breaks his silence.That's all folks.,humour
4509,Mahesh Bhupathi's IPTL is no 'exhibition' tennis.The format was very different from what one sees at ATP or WTA events.,sports
708,"What do we know about 7, Race Course Road, India's most 'guarded' address?.Whether you treat it as a house or (accurately) as a whole road, Race Course Road is still the enigmatic address at the centre of Indian politics.",Arts
4761,Cricket World Cup: Ouch! Twitter reacts to Team India losing.India lost to Australia by 95 runs to end their dream World Cup run.,sports
734,"Glory days in Mazagaon, where Bombay once bloomed.[Book excerpt] Like the sea surrounding it, Mazagaon’s story has been about the ebb and flow of people, cultures, worlds and money.",Arts
3359,"What to expect from Google's launch event apart from Pixel 2 and Pixel 2 XL.Make way for a new laptop, smart speakers and an all-new VR headset from the Mountain View-based tech giant.",tech
2356,Why Chetan Bhagat will be a better president than Amitabh Bachchan.The Twitter world discovered a true Modi bhakt in the author even before the term was introduced.,humour
467,Half of Bollywood has found a place in Karan Johar's 'Takht'. Here's what the other half is doing.Karan Johar has come up with an unofficial roster of Bollywood actors.,Arts
3890,"MS Dhoni, Please Retire! It pains me to say this as a Dhoni fan, but it’s time Captain Cool calls it quits.Given his recent performance, MS Dhoni should hang up his gloves while some people still say, but why? Not when everyone is demanding, but why not!",sports
18692,Making sense of breaking stories.Short analysis of the day's leading developing headlines.,politics
4240,"What Sindhu, Gopichand told me in their first interview after Rio Olympics win.As a sports journalist, it was one of the sweetest moments for me in 2016.",sports
18935,Haider in the time of hashtag nationalism.The film's success shows we are more willing to look within.,politics
3891,World Cup 2019: England's hopes soar for the Cup as they end India's unbeaten streak!.England won against India by 31 runs. Eoin Morgan's men made sure Virat's boys had a hard time in Birmingham. And Team India showed no intent to win.,sports
18119,"If it is Delhi politics, there have to be dirty tricks.The Delhi voter hopefully, will expose these ""exposes"" – either of BJP or AAP – to shape popular opinion.",politics
1616,"Modi is right. Raghuram Rajan is more Indian than his haters.If RBI's new framework goes ahead with borrower’s bias, we have every right to doubt the motives behind the ouster of India’s finest central banker.",business
2135,Would robots let us sit and sip coffee when they take over our world?.Algorithms can't save us.,humour
738,"Farewell, Ursula K Le Guin. You will be missed.The acclaimed US sci-fi and fantasy writer dies at 88.",Arts
18525,"Women safety: Instead of moving forward, we are regressing.We must collectively make it our responsibility to prevent violence against women in public and domestic spaces.",politics
4903,"Is the spirit of sport dying?.These are dark days for global sport, and not just Indian.",sports
18108,"Delhi polls: Iron Lady Kiran Bedi needs lessons from Teflon aunty Sheila Dikshit.In an election about personalities, everything is personal.",politics
1934,"Bura na mano, Didi hai! Twitter turns a lean, mean meme-machine as Mamata Banerjee and the CBI clash in Kolkata.Bengal means business, and Twitter means memes. We've got you the best right here.",humour
4910,"Indian Super League Game: Come on, let's football?.It’s too early to comment whether the ISL is likely to be a success, but this did not feel like the real deal.",sports
197,"'Chhapaak' First Look: Why Deepika Padukone and Meghna Gulzar's 'Chhapaak' makes us hopeful.'Chhapaak' First Look: Deepika Padukone as Malti looks every bit like Laxmi Agarwal, an acid attack survivor whose story of trauma and triumph 'Chhapaak' tries to chart.",Arts
992,Toilet: Ek Prem Katha - Not such a relief.It does more for the Swachh Bharat Abhiyan in a couple of hours than the government has managed in three-and-a-half years.,Arts
3321,"Bonn climate talks: How to address the impact of global warming.It is going to be contentious as usual, with developing and developed country blocks taking divergent positions.",tech
882,Why Aamir Khan's Sexy Baliye will put item girls out of business.The actor does not need to play the lead role to make his presence felt.,Arts
2017,Raja beta syndrome is not Indian: Why no one will want their mothers on Twitter after this.Many men on Twitter are trying to gaslight Indian #MeToo. They can learn a thing or two from this woman.,humour
18263,How Modi has let us down.The government is slyly using the ordinance route to avoid answering tough questions on their misgovernance in the Parliament.,politics
334,"Why Shah Rukh Khan and 'Zero' are fitting metaphors for our India.Despite being among the world’s fastest growing economies, India is making headlines for cow vigilantism and mob lynchings. Perhaps, as SRK suggests, perfection is elusive.",Arts
3870,"MS Dhoni bashers must know he takes charge of the team, not just his performance.At 38, Dhoni is absolutely fit to carry on.",sports
2995,"CES 2019: Rise of the robots to AI taking over homes, all the tech trends that matter.Smart toilets to robot puppies, here are the biggest takeaways from CES 2019.",tech
2216,Talk to the hand: Why Kapil Sibal's SMS poetry doesn't work on Twitter.Bad poetry is a loud Honey Singh song when you have a massive hangover on a Monday morning.,humour
1367,"Is GST the best thing to happen to India since Independence? Twitter can't get enough it.With a Modi-style midnight bash, India will enter the new tax regime on July 1.",business
3791,Why Samsung Galaxy S6 could be the best smartphone of 2015.Samsung's outlandish confidence in challenging the iPhone 6 head-on is evidence that it might be onto something.,tech
1901,UN survey says Pakistanis are apparently happier than Indians. We know why!.The eye of the storm remains the calmest.,humour
475,Fanney Khan: How two versions of the 'Achhe Din' song croon the reality of our times.The much-used slogan from the 2014 general election campaign finally gets a 'filmi' treatment.,Arts
2347,"Calculate this, Chetan Bhagat [And yes, you asked for it].For the love of NCERT, sixth standard math you may still pull off, but not sixth standard history.",humour
1919,"Questions ED officials can ask Robert Vadra.In an alternate universe, Robert Vadra could give the ED answers on fitness, style and fashion. They need it. He knows it.",humour
399,"Karan Johar, can you please ask better questions?.Do stars live such uneventful lives or is KJo addicted to gossip?",Arts
2842,"Why it pays to be a bad satirist.Had it not been for the outrage, people would have found the Charlie Hebdo cartoons in poor taste, or offensive, or racist, or a plain bad joke.",humour
3407,Relax! NASA hiring a planetary protection officer is not hinting at an alien invasion.It's not even a new position.,tech
3278,"Year in review: Best smartphones launched for every budget in 2017.Phones this year were not only more powerful, but also sleeker and better to look at.",tech
1894,"Mere paas dadima hai! Why our netas must always find that old lady toiling away!.If you love kids and grandparents, yes, you are our leader!",humour
1338,Rs 1000 note is coming back by December. So what was the demonetisation fuss all about?.This seems like a great waste of taxpayers’ money and patience.,business
18891,Hard lessons for Modi.Why the politics of aspiration has its limits.,politics
4740,"Cricket World Cup 2015: A dream farewell for Michael Clarke.Roles had been assigned for the final and it made the job easy for the Australian captain, who led brilliantly.",sports
2337,"A Keralite speaks to a Somali and finds Modi is right after all.Of course, it's fishy business.",humour
747,"Taapsee Pannu on being trolled for bikini shoot and what other leading actors from South spoke on sexism in films.At the India Today South Conclave 2018, Gautami, Khushbu, Taapsee, Kajal talk about casting couch and others issues they face.",Arts
3564,Nokia as Android smartphone: Will it work?.The Nokia 6 will be available only in China at present.,tech
4688,"IPL 8: Kohli or Dhoni - who are you rooting for tonight?.While the RCB skipper loves to wear his aggression on his sleeve, his CSK counterpart exudes calm confidence. One of the two teams will end up in the finals on Sunday.",sports
4747,So what we lost the Cricket World Cup 2015? Come on India.This video by Saattvic wants you to take two minutes to consider how important that loss actually was.,sports
2587,"After Sangakkara and Clarke, will India retire from Test cricket now?.It has already overstayed its welcome, should have quit after the Big Four.",humour
2611,Kalam and Yakub have a conversation in a place before heaven and hell.This is an imaginary piece not intended to hurt anyone's sentiments. I don't take a single word written here seriously. I expect the same from you.,humour
1668,Why Ramdev's Patanjali is a fascinating success story.He is the first guru to make the transition from a symbolic presentation of a civilisational idea to an actual production.,business
3654,Why Digital India rejecting Google Street View is absurd.The Indian government is reluctant to truly embrace the change.,tech
543,"No, I will not cheer for Veere Di Wedding. It's regressive.It portrays independent women as they would possibly exist in the imagination of most men.",Arts
18513,Modi's biggest problem is controlling the RSS.PM's election victory has infused a sense of triumph in the Sangh which represents a dilemma for him.,politics
4221,India has sadly failed its sportsmen.Sports has neither been a priority for the government nor a part of national policy agenda.,sports
295,"Why 'Mary Poppins Returns' returns with a fresh dose of misogyny.Bite, chew or pop  — you ain’t nothing without the mop",Arts
1563,"So who won the festive sale bonanza? Flipkart, Amazon or Snapdeal?.Pundits are yet to identify a clear winner.",business
932,"Wrong to allege Sikh actor in Taarak Mehta ka Ooltah Chashmah is portraying Guru Gobind Singh.Actor Gurcharan Singh, a devout Sikh himself, a teetotaler and a vegetarian, was taken aback at the controversy.",Arts
4052,Why India Today has chosen Virat Kohli as newsmaker of 2017.He has lifted the mood of the nation in a difficult year.,sports
18142,"The Congress is a threat to Rahul and Sonia Gandhi, not the BJP.Jayanthi Natarajan's letter to the Congress president shows that the rot in the party has finally hit the high command.",politics
18766,Modi must fight religious nuts with Uniform Civil Code.A Uniform Civil Code is the best way to counter religious extremism and ensure justice for women.,politics
18800,"How to apply for a job in the Age of Modi.You could write to the prime minister directly but for that you will have to listen to his radio address, Mann ki Baat.",politics
3474,"5G doesn't seem like it's coming to India anytime soon.Technically, we need a strong backhaul that will take time to create.",tech
829,"What Bollywood can learn from director of S Durga about having a spine.When the stars choose to stay mum, it distorts our ideas of what is permissible and what isn’t.",Arts
1477,"How Paytm is brazenly piggybacking on banks and telcos.If they come together and join hands, they would be able to stop the invasion into their territories.",business
4875,Brisbane Test match: Australian captain Steven Smith has class.This schoolboy looking skipper even has the mental strength to pick up his team despite thrashings.,sports
3019,"COP 24: The main issues involved, and where does India stand.With the US pulling out of the Paris Accord, and China's increasing consumption of fossil fuels and CO2 emissions, India could lead climate change dialogue by example",tech
2036,"Bhima Koregaon raids, Rahul Gandhi, Sunny Leone, Asian Games: All that you need to know today.Attention editors: This morning gyan is not a sponsored content yet. We are doing it out of sheer goodwill for our rival media groups.",humour
3874,"World Cup 2019: How Team India came to be called the 'new chokers'.As unfair as it may seem to fans right now, India needs to win an ICC tournament at the earliest to ensure that this tag, that's been monopolised for decades by South Africa, does not stick to Virat's warriors.",sports
2173,It's dumb that people think SRK is Priyanka Chopra's ex because they have similar jackets.People have waaaaay too much free time.,humour
595,65th National Film Awards: Divya Dutta finally gets her due.Irada star won the best supporting actress award for the role.,Arts
18444,Congress party is dead: What it means for Indian politics.It will be a while before the party accepts the need for complete overhaul and starts its slow trek back to political power management.,politics
2928,Why Kim Kardashian isn't coming to India.Official sources said that the government of India denied her entry lest she broke the television.,humour
3737,How India's space journey made another landmark flight.The GSLV mission was powered by indigenously developed cryogenic engine.,tech
3472,"Samsung Galaxy S8 or HTC U11: Which smartphone is worth your money?.Priced above 50k, will the latter win the flagship bout?",tech
18953,"Swachh Bharat campaign: What Varanasi can learn from Kyoto.The government systems must be reformed and implemented, so that they no longer fail the citizens.",politics
3820,Scientific research has many cheater cocks.It is high time the government sets up an independent authority to handle cases of scientific frauds in India.,tech
4701,IPL 8: Are Delhi Daredevils afraid of Yuvraj's daddy?.Why do teams refuse to let go of the gone guys?,sports
1670,Budget 2016: Modernising rural economy must be Modi's mission.Agriculture can be taken out of the perpetual disaster-prone status by launching big reforms.,business
664,Why Indian TV makes sad and regressive shows like Naagin and Sasural Simar Ka.The science behind our entertainment industry.,Arts
3153,"OnePlus 6 is a good phone, but here’s what should worry Apple and Samsung.A success story unlike any other.",tech
3262,"[India Today] Will SC, which stood by Kerala HC in Hadiya case, rule in favour of people's privacy in Aadhaar?.It is to be seen how critical the Supreme Court can be of the government's attempt to take up the position of the benevolent patriarch.",tech
2161,Yoga day is actually a gift by Modi government to make memes.Nothing assures good health like a good dose of humour on social media.,humour
737,The worst (and best) thing about Sanjay Leela Bhansali's Padmaavat.Sanjay Leela Bhansali's glorified treatment of the archaic practice of jauhar - mass suicide by fire - is a disconcerting watch.,Arts
2202,How not to get beaten up by Bajrang Dal this Valentine’s Day.Don’t celebrate the bloody love-fest.,humour
3765,"Why Modi's Digital India will switch off on low internet speed.In a country with dismal telecom infrastructure, PM's new initiative is just another buzzword.",tech
2020,"Why Virat Kohli wants BCCI to allow more WAG time. We probably know the reason.More than cricket goals or acting goals, Virat and Anushka have given us relationship goals.",humour
3607,5 budget smartphones to make your Reliance Jio dream come true.Let's look at the best 4G VoLTE phones to buy.,tech
2913,Modi even makes Vaiko and Karunanidhi agree on something.Our cartoonist sketches the landscape of Indian politics with his wicked pen.,humour
3192,Why India can't afford to delay data privacy law.The digital footprint will be massive as Internet users in the country are about to reach 500 million by June 2018.,tech
18957,Why everybody loves Rahul Gandhi in Amethi.Rahul's Amethi voters say they love him because he hugs them and their children at the cost of annoying his security personnel.,politics
1845,Hotstar's desi 'The Office' is really nice! Stop hating it just because it's Indian!.The Indian version of ‘The Office’ didn’t go down well with many viewers. But their dislike is totally uncalled for because the Indian 'The Office' is a cut above the US version even.,humour
2415,[Revealed] Aamir Khan's incredible new ad campaign.It's heavy duty!,humour
3179,"Why iPhone X is a cash cow for Apple.As per a report, iPhone X alone generated 35 per cent of the smartphone industry profit in the last quarter of 2017.",tech
4185,I'm proud of how Virat Kohli has given Aussies hell.Now let's hope he is able to shut the Oz media up by winning the Test series for India.,sports
3020,"Buying guide: Best phones you can buy under Rs 20,000.Let's take a look at the best smartphones in the segment.",tech
3912,"India Vs Australia: SWOT analysis of the two teams and where they stand.India plays Australia at the Oval today. A quick look at the strengths, weaknesses, opportunities and threats both the teams present.",sports
18723,"Why Modi's Make in India will break.While there is no shortage of degrees, there is a dire shortage of skilled manpower in India.",politics
350,"Why is Anshula Kapoor getting rape threats after 'Koffee With Karan'?.It all started with a phone call. And led to profanities of all kinds. Like, for real?",Arts
1446,Arun Jaitley's Union Budget didn't address key concerns of start-ups and SMEs.It was a good opportunity to improve ease of doing business and remove challenges faced by the sector.,business
2257,"10 kinds of people I have met at an ATM queue, thanks to demonetisation.Keep an eye out for them.",humour
2137,"I argued with a bhakt and realised why Modi is great.[Satire] 'Don't worry, we'll Photoshop Vikas.'",humour
1035,Clear picture of negative crude oil price.The situation has created rigmarole in market clearance across commodity derivatives markets of the world.,business
3202,"Why OnePlus is wrong in asking fans to 'love the notch'.The company has confirmed that its upcoming flagship, the OnePlus 6, will feature an iPhone-like notch.",tech
4159,"IPL 2017: Young Turks hog limelight but what about big names like Kohli, Dhoni?.If there’s one knock which made everyone sit up, it had to be the audacious 97 by Delhi Daredevils' Rishabh Pant.",sports
1403,How digital lending can be a game-changer in post-demonetisation India.A syncretic marriage of traditional and new-age lenders should be the way forward.,business
3443,How my business partner and I became a victim of cyber theft.This is what you must never do.,tech
3595,"If rumours are true, iPhone 8 will be a wet dream.The 10th anniversary of Apple's iconic smartphone will probably change the world.",tech
2558,Five easy steps for India to prepare for a ban.Society today functions on a simple algorithm - nobody likes the guy who likes the things nobody likes.,humour
4685,"IPL 8: Why tonight's final between CSK and MI will be epic.It is just one match, 40 overs, one opportunity. The team that takes that opportunity will win.",sports
3478,Don't WannaCry: How India can ward off Ransomware attacks - real and imagined.A 'data breach reporting and learning classification framework' ought to be operationalised.,tech
1587,"Modi's 4 per cent inflation target vital for the health of Indian economy.Success of the policy will hinge on enhancing food supply, market-based pricing of farm produce, and reducing price distortions.",business
18112,"Political opportunism has disfigured the true face of secularism.India is intrinsically secular, but political parties practise communalism behind the veil of secularism.",politics
2633,What happened after Djokovic ate grass at Wimbledon?.Indian batsmen decide to do the same at Lord's.,humour
1375,"Who's afraid of GST?.With the abolition of purchase taxes and mandi taxes, farmers are going to be benefited.",business
1409,"Why neither eBay deal, nor Snapdeal merger will save Flipkart.There is so little to gain and so much to lose for the e-commerce website.",business
18574,Making sense of breaking stories.Short analysis of the day's leading developing headlines.,politics
1790,"Budget 2015: Why this one must be India's ""Dream Budget"".In this Budget, the most important task for the government is to control the fiscal deficit.",business
3953,"Stop celebrating Asian Games 2018 successes, India! Look at China.With 106 gold, 68 silver and 50 medals, the neighbouring country is right at the top of the game - quite literally.",sports
1864,"Lok Sabha 2019: 5 gaffes we couldn’t stop laughing over!.From radar theory to Nirav Choudhary, we laughed so much, we forgot our woes!",humour
4102,Golf: A timeless tale unfolded at The Open as Jordan Spieth buried ghosts of his past.The story of this year's championship will be told timelessly and tirelessly in the sport's history.,sports
717,Watching Padmaavat in Pakistan: Why it did not leave me reduced just to a vagina.Which India has been shown?,Arts
4549,Can Dhoni prepare a crack team for World T20?.The captain appears to be using the three Twenty20 matches against South Africa to test the younger lot.,sports
1597,"Do we need a global central bank and a global reserve currency?.With the economic balance of power shifting towards Asia, we must move past the US dollar as the world’s preferred option.",business
1791,"Budget 2015: Expectations and wish list.The nation is eagerly waiting to see the reforms that the Budget would make across economic, industrial and fiscal fronts.",business
18850,Why India needs to join the war against the IS.The deteriorating West Asia security situation will hurt India’s trade and energy requirements.,politics
1743,"Mr Modi, just how do you plan to get youth the jobs?.Educating the huge number of illiterate people is the riddle that the PM must solve to make India skill capital of the world.",business
4728,Pakistani media on India-Pakistan cricket ties. End is the best.Indian Premier League can have Pakistani players only once bilateral cricket ties with India are restored on a permanent basis. How long will diplomacy play spoilsport?,sports
2578,Killing me softly: I once met Indrani Mukerjea and saw her for who she is.Here is her most accurate character evaluation.,humour
731,Why poet Ashok Vajpeyi pulled out of Parallel Literature Festival.Samanantar Sahitya Utsav or PLT is giving a stiff competition to Jaipur Literature Festival in terms of controversies.,Arts
1869,"Election 2019's Poll-itical Style! Get The Look: Here are 5 fashion trends spotted on Voting Day.No, voting is not about fashion. Yet, from white to kesari, one cannot miss the obvious coincidences!",humour
4831,Cricket World Cup 2015: Virat Kohli has proved he's a better cricketer than Sachin Tendulkar.Kohli's performance in Australia shows the Test captainship has added a pinch of aggression to his style.,sports
18572,"Christmas Homecoming: Conversion is a tool to fool people into believing  something will change.People should be free to choose their religion, but will they also get the bonus of selecting their caste?",politics
3707,"5 takeaways from Sundar Pichai’s Google for India keynote.WiFi at 100 railway stations, new Hyderabad campus, more hiring and a host of India-centric apps announced.",tech
3294,Micromax Bharat 5 vs Nokia 2 vs Xiaomi Redmi 5A: Which is the best budget 4G phone?.We tell you if discounts are worth it.,tech
906,How Tom Petty made an American girl out of all of us.It'll take Americans a long time to visit a music show without thinking of a gunslinger.,Arts
18375,India & China in 2015: Five factors that will make or break ties.It is no secret that Modi has been a long-term admirer of the China model.,politics
4792,"World Cup 2015: Team India's performance has been phenomenal.The 6/6 record in the league phase was out of the blue, but India has to now work on competing hard against Bangladesh, a side full of zest, in the quarter-finals.",sports
3689,Apple-FBI fight shows why India may never get its Silicon Valley.The rule of law comes into force only after businesses are ruined and careers destroyed.,tech
4856,IPL mess as unpredictable as a T20 thriller.Officials and players associated with Chennai Super Kings and Rajasthan Royals would be having sleepless nights.,sports
3427,Thermal cameras to dual displays: 4 futuristic phones with unique features.Find out which one gives you a picture-perfect resolution.,tech
923,"Who does goddess Durga actually belong to?.As her history shows, anybody who wants to worship and in any which way.",Arts
2953,Pegasus snooping scandal and the privacy debate.The WhatsApp-Pegasus snooping scandal throws up disturbing questions for the Indian nation and its polity.,tech
1695,"Patanjali noodles and more, Baba Ramdev's got India eating out of his hand.The masses will buy into his assurance that they are a healthy alternative to cooked meals in times of high food inflation.",business
1337,"King Modi botched up: How demonetisation crippled Indian economy.As the growth rate slowed, 98.96 per cent of extinguished currency returned, while making no gains on cracking black money.",business
18528,We need to protect our armed forces.We owe it to the men and women who defend us.,politics
1490,Demonetisation has crippled India's economic dreams.Economists throughout the world virtually warn of a fall in GDP.,business
18906,Raj Thackeray: End of a start-up Sena.Maharashtra Navnirman Sena looking for a new script.,politics
18438,Who decides a freedom fighter is our ratna?.Scrap the idea of giving Bharat Ratnas posthumously and confer it on people who have worked in independent India.,politics
4208,"When I asked Lasith Malinga to defeat the English team with 100 runs, he did.That night in Sri Lanka, I got an insight into the power of politeness.",sports
4115,"On Dhoni's birthday, celebrating life lessons from Indian captain's leadership.The words he spoke at the press conference, when asked what he told the boys at mid-time, reverberate in my ears every single time I feel down in my life.",sports
755,Claude Arpi's book exposes India's ties with China and Tibet like never before.The book brings to fore how Jawaharlal Nehru deliberately kept Sardar Vallabhbhai Patel out of the discussions on Tibet.,Arts
854,"Manohar Shetty on why writing poems is a way to say you're not alone in this world.'Full Disclosure', an anthology of old and new poems, is published by Speaking Tiger.",Arts
668,"Why storytelling matters — at such a time.When stories are told, not read, it adds a measure of delight to the experience.",Arts
18160,"Five questions that Delhi BJP thinks Arvind Kejriwal will not be able to answer.The Delhi BJP has decided not to come out with a manifesto for the upcoming Assembly elections, instead this is what they want the AAP leader to answer.",politics
18755,"Why Nehru needs to be rescued from Rahul Gandhi.It is alarming how he interprets his great grandfather, as a soldier of love and brotherhood, rather than as a muscular builder of modern India.",politics
18146,The songs Mahatma Gandhi's words inspired.Lyrics based on Gandhi's teachings have made a humble contribution in keeping his light alive.,politics
18251,"Why Arun Jaitley should not have met Jayalalithaa.In light of the meeting, AIADMK's silence on the NDA government's controversial decisions smacks of a quid pro quo.",politics
1451,Budget 2017: Income Tax cut by 5% is only a half measure by Arun Jaitley.The move has made our tax rates steeper once we cross the Rs 5 lakh threshold.,business
18370,"Imagine if PK was a woman, would you still be laughing?.Unfortunately, even the gods seem helpless in ensuring a safe homecoming for women in India.",politics
18580,"No Malala, Islam is not a religion of peace. Or war.Islam is a religion. Like other religions, it believes it’s the right path. Peace and war is based on religion’s convenience.",politics
3307,"India needs more women scientists, but men won't allow it.The root cause of the problem is similar to what it’s in other fields — sexism and discriminatory rules of institutions.",tech
1141,"Is India’s 25 per cent safeguard duty for solar imports hampering the market?.With the added burden of a safeguard duty, most small developers will find it difficult to exist in the market and may face bankruptcy and financial collapse.",business
1151,Busting myths about the strength of Indian rupee and what it means.Economics is often over-simplified to suit the needs of politics. Here's what the so-called experts won't tell you.,business
18665,New law makes appointments of CBI chiefs murkier.The ambiguity over choosing the top watchdog has the Opposition fuming.,politics
2131,The best explanation for why India was put through demonetisation.[Satire] 'The citizens can go fudge themselves!',humour
1307,How Modi government failed to spot its biggest success story.It could have helped mend India's investment behaviour post-demonetisation.,business
3160,"Android P, 'Duplex' and more: 5 major takeaways from Google I/O 2018.AI has been at the heart of the tech giant's plans.",tech
18961,Buoyant Floral Festival is Telangana's toast to nature.New state looks for new cultural identity.,politics
2833,"Five things Indians would not have noticed about Modi before Obama's visit.He may be our prime minister, but he's just an ordinary love struck Indian at heart.",humour
2981,Why India is wrong in calling for a PUBG ban.Authorities have listed PUBG and other games as 'harmful to children'. But they are wrong.,tech
19050,Tagore would not have stood for this national anthem debate.Is a quiet refusal to stand for the national anthem the same as an active act of disturbance in the eyes of the law?,politics
18649,"Why India can't afford to lose the energy story.The first step towards realising the ""Make in India"" goal is to ensure that we have 100 per cent self-sufficiency in very basic infrastructure.",politics
924,Why Lata Mangeshkar's Dil Jo Na Keh Saka lost to Mohammad Rafi's version.A history of twin songs in Hindi cinema.,Arts
85,"Pran, whose name remained unique: Bollywood's admired villain, Pran, was so talented, parents shied away from naming kids his name!.Shammi Kapoor, Dev Anand, Dharmendra, all became heroes only by defeating Pran! He too floored viewers with his sardonic wit, flamboyant appearance and his chilling acting.",Arts
1782,How Budget 2015 will help India attain its full potential.Union minister M Venkaiah Naidu gives his take on the Budget.,business
3622,"Nothing is free in life anymore, not even WhatsApp.Will the users accept some privacy trade-offs in lieu of the service the app offers?",tech
4004,Why Royal Challengers Bangalore is the worst IPL team ever.It is primarily because of how lopsided the team balance has always been.,sports
381,"On Sanjeev Kumar’s death anniversary, remembering the suave, sophisticated actor who left us too soon.His voice modulation and the fluidity of his face distinguished him from other actors of his time.",Arts
377,"From Sheila to Suraiyya: The unbearable lightness of being Katrina Kaif.Katrina is a product of masculine imagination, but she can transcend that in her spirit and spunk, which won't get unnoticed in Thugs of Hindostan, as there's hardly anything else to notice.",Arts
630,"A single woman hitting her 40s, looking for romance, describes her brushes with the 'bad boys of Delhi'.[Book extract] I froze when I saw the box of Masti condoms resting against my silvery purple sandals.",Arts
3819,"Here's why money can't buy you the new Chinese phone in town.OnePlus has brilliant hardware, but only those who have got the invite can get their hands on it.",tech
18641,Making sense of breaking stories.Short analysis of the day's leading developing headlines.,politics
3171,"India blocks more webpages than Pakistan, Bahrain and UAE combined: Chilling details emerge.An overwhelming number of blocked URLs include ones that hosted content related to atrocities on the minority communities in India.",tech
